xflr5 v6.61

Plane name :        TaperPlane0.9
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.039019   0.000073   0.007369   0.007442   0.000000  -0.000000  -0.117804  -0.000000   0.000000   50.0000    -2.2396
   -4.500     0.000   0.003885   0.000037   0.007052   0.007088  -0.000000   0.000000  -0.129456   0.000000  -0.000000   50.0000    24.6994
   -4.000     0.000   0.046798   0.000119   0.006711   0.006830  -0.000000   0.000000  -0.141116   0.000000  -0.000000   50.0000     2.2333
   -3.500     0.000   0.089713   0.000321   0.006309   0.006630  -0.000000   0.000000  -0.152780   0.000000   0.000000   50.0000     1.2603
   -3.000     0.000   0.132623   0.000643   0.005993   0.006636  -0.000000   0.000000  -0.164442   0.000000   0.000000   50.0000     0.9170
   -2.500     0.000   0.175524   0.001084   0.005776   0.006861  -0.000000   0.000000  -0.176099   0.000000   0.000000   50.0000     0.7415
   -2.000     0.000   0.218407   0.001645   0.005575   0.007220  -0.000000   0.000000  -0.187750   0.000000   0.000000   50.0000     0.6349
   -1.500     0.000   0.261267   0.002325   0.005488   0.007813  -0.000000   0.000000  -0.199390   0.000000   0.000000   50.0000     0.5633
   -1.000     0.000   0.304098   0.003124   0.005514   0.008638  -0.000000   0.000000  -0.211016   0.000000   0.000000   50.0000     0.5120
   -0.500     0.000   0.346892   0.004042   0.005565   0.009607  -0.000000   0.000000  -0.222626  -0.000000   0.000000   50.0000     0.4733
    0.000     0.000   0.389644   0.005078   0.005632   0.010710  -0.000000   0.000000  -0.234216  -0.000000   0.000000   50.0000     0.4431
    0.500     0.000   0.432347   0.006231   0.005705   0.011936  -0.000000   0.000000  -0.245784  -0.000000   0.000000   50.0000     0.4189
    1.000     0.000   0.474996   0.007502   0.005779   0.013280  -0.000000   0.000000  -0.257325  -0.000000   0.000000   50.0000     0.3991
    1.500     0.000   0.517582   0.008889   0.005860   0.014748  -0.000000   0.000000  -0.268836  -0.000000   0.000000   50.0000     0.3826
    2.000     0.000   0.560101   0.010391   0.005937   0.016328  -0.000000   0.000000  -0.280313  -0.000000   0.000000   50.0000     0.3686
    2.500     0.000   0.602546   0.012008   0.006025   0.018033  -0.000000   0.000000  -0.291754  -0.000000   0.000000   50.0000     0.3566
    3.000     0.000   0.644911   0.013739   0.006113   0.019852  -0.000000   0.000000  -0.303155  -0.000000   0.000000   50.0000     0.3461
    3.500     0.000   0.687189   0.015582   0.006198   0.021780  -0.000000   0.000000  -0.314511  -0.000000   0.000000   50.0000     0.3370
    4.000     0.000   0.729375   0.017536   0.006299   0.023835  -0.000000   0.000000  -0.325821  -0.000000  -0.000000   50.0000     0.3290
    4.500     0.000   0.771461   0.019601   0.006405   0.026007  -0.000000   0.000000  -0.337079  -0.000000  -0.000000   50.0000     0.3219
    5.000     0.000   0.813443   0.021775   0.006520   0.028295  -0.000000   0.000000  -0.348284  -0.000000  -0.000000   50.0000     0.3155
