xflr5 v6.61

Plane name :        TaperPlane0.3
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.045024   0.000072   0.007377   0.007450   0.000000  -0.000000  -0.165487  -0.000000  -0.000000   50.0000    -2.0446
   -4.500     0.000  -0.001009   0.000013   0.007060   0.007073   0.000000  -0.000000  -0.187622  -0.000000  -0.000000   50.0000  -103.3409
   -4.000     0.000   0.043016   0.000077   0.006712   0.006789   0.000000  -0.000000  -0.209775  -0.000000  -0.000000   50.0000     2.7079
   -3.500     0.000   0.087044   0.000264   0.006332   0.006597  -0.000000  -0.000000  -0.231940  -0.000000  -0.000000   50.0000     1.4783
   -3.000     0.000   0.131068   0.000574   0.005999   0.006574  -0.000000   0.000000  -0.254106   0.000000   0.000000   50.0000     1.0748
   -2.500     0.000   0.175082   0.001008   0.005784   0.006792  -0.000000   0.000000  -0.276268  -0.000000   0.000000   50.0000     0.8741
   -2.000     0.000   0.219080   0.001565   0.005629   0.007193  -0.000000   0.000000  -0.298419  -0.000000   0.000000   50.0000     0.7541
   -1.500     0.000   0.263054   0.002244   0.005530   0.007774  -0.000000   0.000000  -0.320555   0.000000   0.000000   50.0000     0.6742
   -1.000     0.000   0.306999   0.003047   0.005518   0.008564  -0.000000   0.000000  -0.342668   0.000000   0.000000   50.0000     0.6173
   -0.500     0.000   0.350907   0.003971   0.005545   0.009516  -0.000000   0.000000  -0.364755  -0.000000   0.000000   50.0000     0.5746
    0.000     0.000   0.394772   0.005018   0.005611   0.010629  -0.000000   0.000000  -0.386807  -0.000000   0.000000   50.0000     0.5414
    0.500     0.000   0.438588   0.006186   0.005686   0.011872  -0.000000   0.000000  -0.408820  -0.000000   0.000000   50.0000     0.5149
    1.000     0.000   0.482348   0.007475   0.005768   0.013243  -0.000000   0.000000  -0.430787  -0.000000   0.000000   50.0000     0.4932
    1.500     0.000   0.526046   0.008884   0.005848   0.014732  -0.000000   0.000000  -0.452700  -0.000000  -0.000000   50.0000     0.4752
    2.000     0.000   0.569674   0.010412   0.005933   0.016344  -0.000000   0.000000  -0.474554  -0.000000  -0.000000   50.0000     0.4599
    2.500     0.000   0.613227   0.012058   0.006021   0.018079  -0.000000   0.000000  -0.496341  -0.000000  -0.000000   50.0000     0.4469
    3.000     0.000   0.656698   0.013821   0.006107   0.019928  -0.000000   0.000000  -0.518055  -0.000000  -0.000000   50.0000     0.4355
    3.500     0.000   0.700082   0.015701   0.006195   0.021897  -0.000000   0.000000  -0.539690  -0.000000  -0.000000   50.0000     0.4257
    4.000     0.000   0.743370   0.017696   0.006298   0.023994  -0.000000   0.000000  -0.561238  -0.000000  -0.000000   50.0000     0.4170
    4.500     0.000   0.786558   0.019804   0.006408   0.026212  -0.000000   0.000000  -0.582695  -0.000000  -0.000000   50.0000     0.4092
