xflr5 v6.61

Plane name :        TaperPlane0.8
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.039777   0.000071   0.007371   0.007442  -0.000000  -0.000000  -0.123876  -0.000000   0.000000   50.0000    -2.1950
   -4.500     0.000   0.003396   0.000030   0.007054   0.007084  -0.000000   0.000000  -0.136888   0.000000   0.000000   50.0000    28.3834
   -4.000     0.000   0.046578   0.000109   0.006711   0.006820  -0.000000   0.000000  -0.149908   0.000000  -0.000000   50.0000     2.2647
   -3.500     0.000   0.089763   0.000308   0.006308   0.006617  -0.000000   0.000000  -0.162935   0.000000   0.000000   50.0000     1.2763
   -3.000     0.000   0.132943   0.000628   0.005989   0.006617  -0.000000   0.000000  -0.175960   0.000000   0.000000   50.0000     0.9300
   -2.500     0.000   0.176113   0.001067   0.005773   0.006840  -0.000000   0.000000  -0.188980   0.000000   0.000000   50.0000     0.7534
   -2.000     0.000   0.219266   0.001626   0.005568   0.007194  -0.000000   0.000000  -0.201993   0.000000   0.000000   50.0000     0.6464
   -1.500     0.000   0.262395   0.002305   0.005471   0.007776  -0.000000   0.000000  -0.214995   0.000000   0.000000   50.0000     0.5746
   -1.000     0.000   0.305495   0.003103   0.005504   0.008607  -0.000000   0.000000  -0.227981  -0.000000   0.000000   50.0000     0.5231
   -0.500     0.000   0.348559   0.004021   0.005556   0.009577  -0.000000   0.000000  -0.240951  -0.000000   0.000000   50.0000     0.4843
    0.000     0.000   0.391580   0.005057   0.005627   0.010684  -0.000000   0.000000  -0.253899  -0.000000   0.000000   50.0000     0.4541
    0.500     0.000   0.434552   0.006212   0.005698   0.011910  -0.000000   0.000000  -0.266822  -0.000000  -0.000000   50.0000     0.4299
    1.000     0.000   0.477469   0.007484   0.005776   0.013260  -0.000000   0.000000  -0.279716  -0.000000  -0.000000   50.0000     0.4100
    1.500     0.000   0.520324   0.008873   0.005858   0.014731  -0.000000   0.000000  -0.292577  -0.000000   0.000000   50.0000     0.3935
    2.000     0.000   0.563111   0.010378   0.005935   0.016313  -0.000000   0.000000  -0.305401  -0.000000   0.000000   50.0000     0.3795
    2.500     0.000   0.605824   0.011998   0.006028   0.018026  -0.000000   0.000000  -0.318185  -0.000000  -0.000000   50.0000     0.3675
    3.000     0.000   0.648456   0.013732   0.006111   0.019844   0.000000   0.000000  -0.330924  -0.000000  -0.000000   50.0000     0.3570
    3.500     0.000   0.691002   0.015580   0.006201   0.021780   0.000000   0.000000  -0.343615  -0.000000  -0.000000   50.0000     0.3479
    4.000     0.000   0.733454   0.017539   0.006303   0.023842   0.000000   0.000000  -0.356253  -0.000000  -0.000000   50.0000     0.3399
    4.500     0.000   0.775807   0.019609   0.006410   0.026019   0.000000   0.000000  -0.368836  -0.000000  -0.000000   50.0000     0.3327
    5.000     0.000   0.818055   0.021788   0.006523   0.028311   0.000000   0.000000  -0.381359  -0.000000  -0.000000   50.0000     0.3264
    5.500     0.000   0.860191   0.024075   0.006652   0.030727   0.000000   0.000000  -0.393819  -0.000000   0.000000   50.0000     0.3206
    6.000     0.000   0.902210   0.026469   0.006802   0.033271   0.000000   0.000000  -0.406212  -0.000000   0.000000   50.0000     0.3154
    6.500     0.000   0.944106   0.028967   0.006989   0.035956   0.000000   0.000000  -0.418536  -0.000000  -0.000000   50.0000     0.3107
    7.000     0.000   0.985871   0.031569   0.007213   0.038781   0.000000   0.000000  -0.430786  -0.000000  -0.000000   50.0000     0.3064
    7.500     0.000   1.027502   0.034272   0.007457   0.041729   0.000000   0.000000  -0.442959  -0.000000  -0.000000   50.0000     0.3025
    8.000     0.000   1.068991   0.037074   0.007726   0.044801   0.000000   0.000000  -0.455051  -0.000000   0.000000   50.0000     0.2989
    8.500     0.000   1.110333   0.039975   0.008031   0.048005   0.000000   0.000000  -0.467060  -0.000000  -0.000000   50.0000     0.2956
    9.000     0.000   1.151522   0.042971   0.008348   0.051319   0.000000   0.000000  -0.478980  -0.000000  -0.000000   50.0000     0.2926
