xflr5 v6.61

Plane name :        TaperPlane1.0
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.038327   0.000076   0.007365   0.007440   0.000000  -0.000000  -0.112399  -0.000000  -0.000000   50.0000    -2.2868
   -4.500     0.000   0.004304   0.000043   0.007049   0.007093   0.000000  -0.000000  -0.122858  -0.000000   0.000000   50.0000    22.2433
   -4.000     0.000   0.046944   0.000129   0.006710   0.006839   0.000000  -0.000000  -0.133324  -0.000000  -0.000000   50.0000     2.2113
   -3.500     0.000   0.089585   0.000335   0.006309   0.006644   0.000000  -0.000000  -0.143793  -0.000000   0.000000   50.0000     1.2488
   -3.000     0.000   0.132223   0.000659   0.005996   0.006655  -0.000000  -0.000000  -0.154260  -0.000000  -0.000000   50.0000     0.9071
   -2.500     0.000   0.174850   0.001102   0.005780   0.006882  -0.000000  -0.000000  -0.164722  -0.000000  -0.000000   50.0000     0.7320
   -2.000     0.000   0.217461   0.001665   0.005581   0.007246  -0.000000  -0.000000  -0.175178  -0.000000  -0.000000   50.0000     0.6255
   -1.500     0.000   0.260048   0.002346   0.005502   0.007848  -0.000000  -0.000000  -0.185623  -0.000000  -0.000000   50.0000     0.5540
   -1.000     0.000   0.302605   0.003146   0.005523   0.008669  -0.000000  -0.000000  -0.196056  -0.000000   0.000000   50.0000     0.5025
   -0.500     0.000   0.345126   0.004064   0.005572   0.009637  -0.000000  -0.000000  -0.206474  -0.000000  -0.000000   50.0000     0.4638
    0.000     0.000   0.387605   0.005100   0.005636   0.010736   0.000000  -0.000000  -0.216873   0.000000   0.000000   50.0000     0.4336
    0.500     0.000   0.430036   0.006253   0.005707   0.011961   0.000000  -0.000000  -0.227252   0.000000  -0.000000   50.0000     0.4094
    1.000     0.000   0.472411   0.007523   0.005781   0.013303   0.000000  -0.000000  -0.237606   0.000000   0.000000   50.0000     0.3895
    1.500     0.000   0.514726   0.008909   0.005859   0.014767   0.000000  -0.000000  -0.247933   0.000000   0.000000   50.0000     0.3730
    2.000     0.000   0.556973   0.010409   0.005937   0.016346   0.000000  -0.000000  -0.258229   0.000000  -0.000000   50.0000     0.3589
    2.500     0.000   0.599146   0.012024   0.006022   0.018046   0.000000  -0.000000  -0.268492   0.000000  -0.000000   50.0000     0.3469
    3.000     0.000   0.641239   0.013752   0.006110   0.019862   0.000000  -0.000000  -0.278719   0.000000   0.000000   50.0000     0.3365
    3.500     0.000   0.683246   0.015592   0.006193   0.021785   0.000000  -0.000000  -0.288905   0.000000  -0.000000   50.0000     0.3273
    4.000     0.000   0.725161   0.017544   0.006293   0.023837   0.000000  -0.000000  -0.299048   0.000000   0.000000   50.0000     0.3193
    4.500     0.000   0.766978   0.019605   0.006398   0.026003   0.000000  -0.000000  -0.309146   0.000000  -0.000000   50.0000     0.3121
    5.000     0.000   0.808690   0.021774   0.006514   0.028288   0.000000  -0.000000  -0.319195   0.000000  -0.000000   50.0000     0.3057
    5.500     0.000   0.850292   0.024050   0.006639   0.030689   0.000000  -0.000000  -0.329192   0.000000   0.000000   50.0000     0.3000
    6.000     0.000   0.891777   0.026432   0.006788   0.033220   0.000000  -0.000000  -0.339135   0.000000  -0.000000   50.0000     0.2947
    6.500     0.000   0.933139   0.028918   0.006973   0.035891   0.000000  -0.000000  -0.349021   0.000000  -0.000000   50.0000     0.2900
    7.000     0.000   0.974374   0.031506   0.007192   0.038698   0.000000  -0.000000  -0.358847   0.000000  -0.000000   50.0000     0.2857
    7.500     0.000   1.015474   0.034195   0.007435   0.041630   0.000000  -0.000000  -0.368610   0.000000   0.000000   50.0000     0.2818
    8.000     0.000   1.056434   0.036982   0.007707   0.044689   0.000000  -0.000000  -0.378308   0.000000  -0.000000   50.0000     0.2782
    8.500     0.000   1.097249   0.039866   0.008004   0.047870   0.000000  -0.000000  -0.387937   0.000000   0.000000   50.0000     0.2748
    9.000     0.000   1.137912   0.042846   0.008315   0.051161   0.000000  -0.000000  -0.397495   0.000000  -0.000000   50.0000     0.2717
    9.500     0.000   1.178418   0.045918   0.008652   0.054569   0.000000  -0.000000  -0.406978   0.000000  -0.000000   50.0000     0.2689
   10.000     0.000   1.218761   0.049080   0.009013   0.058093   0.000000  -0.000000  -0.416385   0.000000  -0.000000   50.0000     0.2662
   10.500     0.000   1.258936   0.052332   0.009400   0.061731   0.000000  -0.000000  -0.425713   0.000000  -0.000000   50.0000     0.2638
   11.000     0.000   1.298938   0.055669   0.009826   0.065495   0.000000  -0.000000  -0.434959   0.000000  -0.000000   50.0000     0.2615
   11.500     0.000   1.338760   0.059091   0.010309   0.069400   0.000000  -0.000000  -0.444123   0.000000   0.000000   50.0000     0.2594
   12.000     0.000   1.378398   0.062594   0.010844   0.073439   0.000000  -0.000000  -0.453200   0.000000  -0.000000   50.0000     0.2574
   12.500     0.000   1.417847   0.066177   0.011414   0.077591   0.000000  -0.000000  -0.462189   0.000000  -0.000000   50.0000     0.2555
   13.000     0.000   1.457101   0.069836   0.012025   0.081861   0.000000  -0.000000  -0.471086   0.000000   0.000000   50.0000     0.2537
   13.500     0.000   1.496155   0.073569   0.012715   0.086284   0.000000  -0.000000  -0.479891   0.000000   0.000000   50.0000     0.2521
   14.000     0.000   1.535004   0.077374   0.013582   0.090956   0.000000  -0.000000  -0.488610   0.000000  -0.000000   50.0000     0.2505
   14.500     0.000   1.573644   0.081247   0.014835   0.096082   0.000000  -0.000000  -0.497252   0.000000  -0.000000   50.0000     0.2491


