xflr5 v6.61

Plane name :        TaperPlane0.2
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.046626   0.000079   0.007374   0.007452   0.000000  -0.000000  -0.177318  -0.000000  -0.000000   50.0000    -2.0432
   -4.500     0.000  -0.002780   0.000018   0.007058   0.007076   0.000000  -0.000000  -0.201590  -0.000000  -0.000000   50.0000   -38.9254
   -4.000     0.000   0.041076   0.000081   0.006715   0.006796   0.000000  -0.000000  -0.225882  -0.000000  -0.000000   50.0000     2.9488
   -3.500     0.000   0.084936   0.000268   0.006352   0.006620  -0.000000   0.000000  -0.250185   0.000000   0.000000   50.0000     1.5782
   -3.000     0.000   0.128792   0.000578   0.006024   0.006602  -0.000000   0.000000  -0.274492   0.000000   0.000000   50.0000     1.1410
   -2.500     0.000   0.172638   0.001012   0.005818   0.006830  -0.000000   0.000000  -0.298793   0.000000   0.000000   50.0000     0.9259
   -2.000     0.000   0.216468   0.001570   0.005674   0.007243  -0.000000   0.000000  -0.323083  -0.000000   0.000000   50.0000     0.7980
   -1.500     0.000   0.260275   0.002251   0.005575   0.007825  -0.000000   0.000000  -0.347356  -0.000000   0.000000   50.0000     0.7131
   -1.000     0.000   0.304052   0.003055   0.005542   0.008597  -0.000000   0.000000  -0.371605  -0.000000   0.000000   50.0000     0.6527
   -0.500     0.000   0.347793   0.003982   0.005549   0.009531  -0.000000   0.000000  -0.395824  -0.000000   0.000000   50.0000     0.6075
    0.000     0.000   0.391491   0.005031   0.005601   0.010632  -0.000000   0.000000  -0.420006  -0.000000   0.000000   50.0000     0.5725
    0.500     0.000   0.435140   0.006203   0.005674   0.011876  -0.000000   0.000000  -0.444145  -0.000000   0.000000   50.0000     0.5445
    1.000     0.000   0.478733   0.007495   0.005752   0.013247  -0.000000   0.000000  -0.468232  -0.000000   0.000000   50.0000     0.5216
    1.500     0.000   0.522264   0.008908   0.005832   0.014740  -0.000000   0.000000  -0.492261  -0.000000   0.000000   50.0000     0.5026
    2.000     0.000   0.565726   0.010441   0.005914   0.016355  -0.000000   0.000000  -0.516225  -0.000000   0.000000   50.0000     0.4865
    2.500     0.000   0.609113   0.012092   0.005998   0.018091  -0.000000   0.000000  -0.540116  -0.000000  -0.000000   50.0000     0.4728
    3.000     0.000   0.652418   0.013861   0.006085   0.019947  -0.000000   0.000000  -0.563927  -0.000000  -0.000000   50.0000     0.4609
    3.500     0.000   0.695635   0.015747   0.006175   0.021922  -0.000000   0.000000  -0.587651  -0.000000  -0.000000   50.0000     0.4505
    4.000     0.000   0.738758   0.017748   0.006272   0.024020  -0.000000   0.000000  -0.611281  -0.000000  -0.000000   50.0000     0.4413
    4.500     0.000   0.781780   0.019864   0.006377   0.026240  -0.000000   0.000000  -0.634810  -0.000000  -0.000000   50.0000     0.4332
    5.000     0.000   0.824695   0.022092   0.006488   0.028579  -0.000000   0.000000  -0.658230  -0.000000  -0.000000   50.0000     0.4260
    5.500     0.000   0.867497   0.024431   0.006609   0.031040  -0.000000   0.000000  -0.681535  -0.000000  -0.000000   50.0000     0.4194
    6.000     0.000   0.910180   0.026880   0.006749   0.033630   0.000000   0.000000  -0.704719  -0.000000  -0.000000   50.0000     0.4136
    6.500     0.000   0.952737   0.029438   0.006921   0.036358   0.000000   0.000000  -0.727774  -0.000000  -0.000000   50.0000     0.4082
    7.000     0.000   0.995162   0.032102   0.007131   0.039232   0.000000   0.000000  -0.750697  -0.000000  -0.000000   50.0000     0.4034
    7.500     0.000   1.037450   0.034870   0.007379   0.042249   0.000000   0.000000  -0.773479  -0.000000  -0.000000   50.0000     0.3990
    8.000     0.000   1.079593   0.037742   0.007655   0.045397   0.000000   0.000000  -0.796114  -0.000000  -0.000000   50.0000     0.3949
    8.500     0.000   1.121588   0.040714   0.007958   0.048672   0.000000   0.000000  -0.818595  -0.000000  -0.000000   50.0000     0.3912
    9.000     0.000   1.163426   0.043785   0.008282   0.052068   0.000000   0.000000  -0.840915  -0.000000  -0.000000   50.0000     0.3878
    9.500     0.000   1.205103   0.046953   0.008629   0.055582   0.000000   0.000000  -0.863068  -0.000000  -0.000000   50.0000     0.3846
   10.000     0.000   1.246613   0.050216   0.009001   0.059217   0.000000   0.000000  -0.885047  -0.000000  -0.000000   50.0000     0.3816
   10.500     0.000   1.287950   0.053570   0.009396   0.062967   0.000000   0.000000  -0.906847  -0.000000  -0.000000   50.0000     0.3789
   11.000     0.000   1.329109   0.057015   0.009817   0.066832   0.000000   0.000000  -0.928461  -0.000000  -0.000000   50.0000     0.3764
   11.500     0.000   1.370083   0.060547   0.010277   0.070824   0.000000   0.000000  -0.949884  -0.000000  -0.000000   50.0000     0.3740
   12.000     0.000   1.410868   0.064165   0.010803   0.074968   0.000000   0.000000  -0.971113  -0.000000  -0.000000   50.0000     0.3718
   12.500     0.000   1.451458   0.067865   0.011372   0.079237   0.000000   0.000000  -0.992141  -0.000000  -0.000000   50.0000     0.3698
   13.000     0.000   1.491847   0.071645   0.011997   0.083642   0.000000   0.000000  -1.012962  -0.000000  -0.000000   50.0000     0.3678
   13.500     0.000   1.532031   0.075502   0.012730   0.088232   0.000000   0.000000  -1.033579  -0.000000  -0.000000   50.0000     0.3661


