xflr5 v6.61

Plane name :        Twist 1
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.000153   0.000109   0.007079   0.007188   0.000000  -0.000000  -0.121064   0.000000   0.000000   50.0000  -616.3434
   -4.500     0.000   0.042421   0.000199   0.006741   0.006940  -0.000000   0.000000  -0.131511   0.000000   0.000000   50.0000     2.4133
   -4.000     0.000   0.084998   0.000409   0.006359   0.006768  -0.000000   0.000000  -0.141964   0.000000   0.000000   50.0000     1.2992
   -3.500     0.000   0.127573   0.000736   0.006026   0.006762  -0.000000   0.000000  -0.152416   0.000000   0.000000   50.0000     0.9288
   -3.000     0.000   0.170138   0.001183   0.005806   0.006989  -0.000000   0.000000  -0.162866   0.000000   0.000000   50.0000     0.7437
   -2.500     0.000   0.212688   0.001748   0.005595   0.007343  -0.000000   0.000000  -0.173311   0.000000   0.000000   50.0000     0.6327
   -2.000     0.000   0.255215   0.002432   0.005494   0.007925  -0.000000   0.000000  -0.183747   0.000000   0.000000   50.0000     0.5587
   -1.500     0.000   0.297715   0.003233   0.005516   0.008750  -0.000000   0.000000  -0.194172   0.000000   0.000000   50.0000     0.5058
   -1.000     0.000   0.340180   0.004153   0.005563   0.009716  -0.000000   0.000000  -0.204584  -0.000000   0.000000   50.0000     0.4662
   -0.500     0.000   0.382604   0.005190   0.005631   0.010821  -0.000000   0.000000  -0.214980  -0.000000   0.000000   50.0000     0.4354
    0.000     0.000   0.424981   0.006344   0.005698   0.012042  -0.000000   0.000000  -0.225356  -0.000000   0.000000   50.0000     0.4107
    0.500     0.000   0.467304   0.007615   0.005776   0.013391  -0.000000   0.000000  -0.235710  -0.000000   0.000000   50.0000     0.3906
    1.000     0.000   0.509567   0.009001   0.005858   0.014859  -0.000000   0.000000  -0.246039  -0.000000   0.000000   50.0000     0.3738
    1.500     0.000   0.551765   0.010502   0.005929   0.016431  -0.000000   0.000000  -0.256339  -0.000000   0.000000   50.0000     0.3596
    2.000     0.000   0.593890   0.012117   0.006021   0.018138  -0.000000   0.000000  -0.266607  -0.000000   0.000000   50.0000     0.3474
    2.500     0.000   0.635936   0.013845   0.006102   0.019947  -0.000000   0.000000  -0.276841  -0.000000   0.000000   50.0000     0.3369
    3.000     0.000   0.677898   0.015685   0.006187   0.021872  -0.000000   0.000000  -0.287037  -0.000000   0.000000   50.0000     0.3276
    3.500     0.000   0.719769   0.017636   0.006283   0.023919  -0.000000   0.000000  -0.297191  -0.000000   0.000000   50.0000     0.3195
    4.000     0.000   0.761544   0.019697   0.006389   0.026086  -0.000000   0.000000  -0.307302  -0.000000   0.000000   50.0000     0.3123
    4.500     0.000   0.803215   0.021866   0.006499   0.028365  -0.000000   0.000000  -0.317366  -0.000000   0.000000   50.0000     0.3059
    5.000     0.000   0.844777   0.024142   0.006623   0.030765  -0.000000   0.000000  -0.327380  -0.000000   0.000000   50.0000     0.3001
    5.500     0.000   0.886224   0.026523   0.006763   0.033286  -0.000000   0.000000  -0.337341  -0.000000   0.000000   50.0000     0.2948
    6.000     0.000   0.927551   0.029009   0.006937   0.035946  -0.000000   0.000000  -0.347247  -0.000000   0.000000   50.0000     0.2901
    6.500     0.000   0.968750   0.031597   0.007152   0.038749  -0.000000   0.000000  -0.357095  -0.000000   0.000000   50.0000     0.2857
    7.000     0.000   1.009817   0.034285   0.007393   0.041678  -0.000000   0.000000  -0.366882  -0.000000   0.000000   50.0000     0.2818
    7.500     0.000   1.050745   0.037072   0.007660   0.044732  -0.000000   0.000000  -0.376606  -0.000000   0.000000   50.0000     0.2781
    8.000     0.000   1.091529   0.039957   0.007957   0.047914  -0.000000   0.000000  -0.386263  -0.000000   0.000000   50.0000     0.2748
    8.500     0.000   1.132163   0.042936   0.008270   0.051207  -0.000000   0.000000  -0.395850  -0.000000   0.000000   50.0000     0.2717
    9.000     0.000   1.172641   0.046009   0.008601   0.054610  -0.000000   0.000000  -0.405364  -0.000000   0.000000   50.0000     0.2689
    9.500     0.000   1.212958   0.049173   0.008962   0.058134  -0.000000   0.000000  -0.414804  -0.000000   0.000000   50.0000     0.2662
   10.000     0.000   1.253109   0.052425   0.009344   0.061769  -0.000000   0.000000  -0.424167  -0.000000   0.000000   50.0000     0.2637
   10.500     0.000   1.293087   0.055764   0.009759   0.065523  -0.000000   0.000000  -0.433449  -0.000000   0.000000   50.0000     0.2614
   11.000     0.000   1.332888   0.059187   0.010231   0.069418  -0.000000   0.000000  -0.442650  -0.000000   0.000000   50.0000     0.2593
   11.500     0.000   1.372505   0.062693   0.010761   0.073454  -0.000000   0.000000  -0.451767  -0.000000  -0.000000   50.0000     0.2573
   12.000     0.000   1.411935   0.066277   0.011335   0.077613  -0.000000   0.000000  -0.460797  -0.000000   0.000000   50.0000     0.2554
   12.500     0.000   1.451171   0.069939   0.011938   0.081877  -0.000000   0.000000  -0.469736  -0.000000   0.000000   50.0000     0.2536
   13.000     0.000   1.490209   0.073676   0.012609   0.086285  -0.000000   0.000000  -0.478586  -0.000000   0.000000   50.0000     0.2520
   13.500     0.000   1.529044   0.077484   0.013398   0.090882  -0.000000   0.000000  -0.487345  -0.000000   0.000000   50.0000     0.2504
   14.000     0.000   1.567670   0.081361   0.014470   0.095832  -0.000000   0.000000  -0.496023  -0.000000   0.000000   50.0000     0.2490
   14.500     0.000   1.606083   0.085305   0.016319   0.101624  -0.000000   0.000000  -0.504649  -0.000000   0.000000   50.0000     0.2476


