xflr5 v6.61

Plane name :        Twist 2
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.038145   0.000319   0.006765   0.007084  -0.000000   0.000000  -0.130150   0.000000   0.000000   50.0000     2.6565
   -4.500     0.000   0.080723   0.000532   0.006403   0.006935  -0.000000   0.000000  -0.140595   0.000000   0.000000   50.0000     1.3553
   -4.000     0.000   0.123299   0.000863   0.006073   0.006936  -0.000000   0.000000  -0.151044   0.000000   0.000000   50.0000     0.9526
   -3.500     0.000   0.165867   0.001313   0.005825   0.007138  -0.000000   0.000000  -0.161491   0.000000   0.000000   50.0000     0.7567
   -3.000     0.000   0.208421   0.001882   0.005620   0.007502  -0.000000   0.000000  -0.171934   0.000000   0.000000   50.0000     0.6407
   -2.500     0.000   0.250954   0.002569   0.005500   0.008070  -0.000000   0.000000  -0.182371   0.000000   0.000000   50.0000     0.5641
   -2.000     0.000   0.293460   0.003375   0.005503   0.008878  -0.000000   0.000000  -0.192798   0.000000   0.000000   50.0000     0.5097
   -1.500     0.000   0.335933   0.004298   0.005552   0.009850  -0.000000   0.000000  -0.203214  -0.000000   0.000000   50.0000     0.4691
   -1.000     0.000   0.378366   0.005339   0.005619   0.010958  -0.000000   0.000000  -0.213615  -0.000000   0.000000   50.0000     0.4376
   -0.500     0.000   0.420753   0.006497   0.005687   0.012184  -0.000000   0.000000  -0.223999  -0.000000   0.000000   50.0000     0.4125
    0.000     0.000   0.463088   0.007771   0.005767   0.013538  -0.000000   0.000000  -0.234362  -0.000000   0.000000   50.0000     0.3920
    0.500     0.000   0.505365   0.009162   0.005846   0.015008  -0.000000   0.000000  -0.244702  -0.000000   0.000000   50.0000     0.3750
    1.000     0.000   0.547576   0.010667   0.005920   0.016588  -0.000000   0.000000  -0.255015  -0.000000   0.000000   50.0000     0.3606
    1.500     0.000   0.589717   0.012287   0.006008   0.018295  -0.000000   0.000000  -0.265298  -0.000000   0.000000   50.0000     0.3482
    2.000     0.000   0.631780   0.014020   0.006091   0.020111  -0.000000   0.000000  -0.275548  -0.000000   0.000000   50.0000     0.3376
    2.500     0.000   0.673760   0.015865   0.006181   0.022046  -0.000000   0.000000  -0.285762  -0.000000   0.000000   50.0000     0.3282
    3.000     0.000   0.715651   0.017821   0.006268   0.024089  -0.000000   0.000000  -0.295937  -0.000000   0.000000   50.0000     0.3200
    3.500     0.000   0.757446   0.019887   0.006375   0.026262  -0.000000   0.000000  -0.306070  -0.000000   0.000000   50.0000     0.3127
    4.000     0.000   0.799139   0.022062   0.006482   0.028545  -0.000000   0.000000  -0.316158  -0.000000   0.000000   50.0000     0.3062
    4.500     0.000   0.840724   0.024345   0.006607   0.030951  -0.000000   0.000000  -0.326197  -0.000000   0.000000   50.0000     0.3004
    5.000     0.000   0.882195   0.026733   0.006739   0.033472  -0.000000   0.000000  -0.336185  -0.000000   0.000000   50.0000     0.2951
    5.500     0.000   0.923547   0.029225   0.006904   0.036130  -0.000000   0.000000  -0.346120  -0.000000   0.000000   50.0000     0.2903
    6.000     0.000   0.964773   0.031821   0.007112   0.038933  -0.000000   0.000000  -0.355999  -0.000000   0.000000   50.0000     0.2860
    6.500     0.000   1.005867   0.034517   0.007353   0.041870  -0.000000   0.000000  -0.365818  -0.000000   0.000000   50.0000     0.2820
    7.000     0.000   1.046824   0.037313   0.007616   0.044929  -0.000000   0.000000  -0.375575  -0.000000   0.000000   50.0000     0.2783
    7.500     0.000   1.087638   0.040206   0.007910   0.048116  -0.000000   0.000000  -0.385268  -0.000000   0.000000   50.0000     0.2750
    8.000     0.000   1.128303   0.043195   0.008227   0.051423  -0.000000   0.000000  -0.394892  -0.000000   0.000000   50.0000     0.2719
    8.500     0.000   1.168814   0.046278   0.008554   0.054832  -0.000000   0.000000  -0.404446  -0.000000   0.000000   50.0000     0.2690
    9.000     0.000   1.209164   0.049452   0.008910   0.058362  -0.000000   0.000000  -0.413927  -0.000000   0.000000   50.0000     0.2663
    9.500     0.000   1.249349   0.052715   0.009293   0.062008  -0.000000   0.000000  -0.423331  -0.000000   0.000000   50.0000     0.2638
   10.000     0.000   1.289362   0.056066   0.009700   0.065766  -0.000000   0.000000  -0.432657  -0.000000   0.000000   50.0000     0.2615
   10.500     0.000   1.329199   0.059502   0.010156   0.069657  -0.000000   0.000000  -0.441902  -0.000000   0.000000   50.0000     0.2594
   11.000     0.000   1.368855   0.063020   0.010678   0.073698  -0.000000   0.000000  -0.451066  -0.000000   0.000000   50.0000     0.2573
   11.500     0.000   1.408323   0.066618   0.011255   0.077873  -0.000000   0.000000  -0.460145  -0.000000   0.000000   50.0000     0.2555
   12.000     0.000   1.447598   0.070294   0.011861   0.082155  -0.000000   0.000000  -0.469135  -0.000000   0.000000   50.0000     0.2537
   12.500     0.000   1.486677   0.074045   0.012508   0.086553  -0.000000   0.000000  -0.478034  -0.000000   0.000000   50.0000     0.2520
   13.000     0.000   1.525552   0.077869   0.013251   0.091120  -0.000000   0.000000  -0.486844  -0.000000   0.000000   50.0000     0.2505
   13.500     0.000   1.564221   0.081762   0.014222   0.095984  -0.000000   0.000000  -0.495570  -0.000000   0.000000   50.0000     0.2490
   14.000     0.000   1.602676   0.085723   0.015676   0.101399  -0.000000   0.000000  -0.504225  -0.000000   0.000000   50.0000     0.2476


